Date,Close,High,Low,Open,Volume,Price_Change,Percent_Change,MA7,MA30,MA120
2024-08-26,165.21121,166.59327,163.52092,165.42996,14190400,0.53691,0.00326,164.51806,167.3052,165.48758
2024-08-27,163.73965,165.48961,163.52092,164.89303,11821900,-1.47156,-0.00891,164.76237,166.66752,165.76457
2024-08-28,161.92014,164.65443,160.60767,164.09762,16407400,-1.81952,-0.01111,164.21977,166.06532,166.00174
2024-08-29,160.85623,165.02231,159.33497,163.37178,19699800,-1.0639,-0.00657,163.45275,165.53801,166.22153
2024-08-30,162.44711,162.72551,160.76676,161.69144,22123800,1.59088,0.00989,163.1019,165.06473,166.43586
2024-09-03,156.46149,160.92585,155.58651,160.79659,38945300,-5.98563,-0.03685,162.18716,164.25902,166.59345
2024-09-04,155.55667,158.09211,155.06948,155.76548,19353800,-0.90482,-0.00578,160.88464,163.41918,166.73281
2024-09-05,156.34218,158.53955,155.08936,155.40754,18688700,0.78551,0.00505,159.61764,162.90911,166.85133
2024-09-06,150.05823,156.92877,149.69035,156.4018,37912100,-6.28395,-0.04019,157.66315,162.36689,166.93338
2024-09-09,148.05707,152.72646,146.5736,151.84037,39260500,-2.00116,-0.01334,155.68271,161.76724,166.94495
2024-09-10,148.00728,150.60582,147.68868,149.78941,31118800,-0.04979,-0.00034,153.84715,161.08209,166.96149
2024-09-11,150.49631,150.83481,146.87229,149.26175,29607700,2.48903,0.01682,152.13989,160.45471,166.98461
2024-09-12,154.01082,154.14025,151.97977,153.12473,29621500,3.51451,0.02335,151.78979,159.90305,167.04646
2024-09-13,156.76868,157.68464,154.52856,154.74758,29591200,2.75786,0.01791,151.96294,159.46918,167.10506
2024-09-16,157.36601,157.55518,155.91243,156.61931,18379800,0.59734,0.00381,152.1092,159.1911,167.17442
2024-09-17,158.62048,159.84508,157.68461,158.3218,20715600,1.25447,0.00797,153.33238,159.20043,167.24928
2024-09-18,159.10834,159.79531,157.90366,159.15812,23677300,0.48785,0.00308,154.91113,159.25783,167.32654
2024-09-19,161.4281,163.07085,160.63161,162.99121,26587700,2.31976,0.01458,156.82839,159.37102,167.42264
2024-09-20,162.87173,163.01112,161.34845,162.78213,40896400,1.44363,0.00894,158.59631,159.42992,167.49303
2024-09-23,161.13939,164.76341,160.96017,163.62841,24150900,-1.73235,-0.01064,159.61468,159.37672,167.55668
2024-09-24,161.57744,162.50336,159.98447,162.31419,23332100,0.43805,0.00272,160.30164,159.38385,167.62101
2024-09-25,160.78098,162.09517,160.59181,160.76106,18869200,-0.79646,-0.00493,160.78949,159.30247,167.71502
2024-09-26,162.01549,163.35957,161.56747,162.9215,20319300,1.23451,0.00768,161.27449,159.38784,167.80302
2024-09-27,163.23016,164.97248,161.91597,162.09517,21101300,1.21468,0.0075,161.86333,159.48288,167.8817
2024-09-30,165.12181,165.42048,162.54317,162.60292,20413900,1.89165,0.01159,162.391,159.58596,167.96165
2024-10-01,166.25681,168.41728,163.85738,166.95373,28338100,1.13499,0.00687,162.87458,159.60391,168.05487
2024-10-02,165.13177,166.78449,164.00673,165.68931,17760200,-1.12503,-0.00677,163.44492,159.56745,168.11165
2024-10-03,165.13177,165.90835,163.20029,163.68814,15073100,0.0,0.0,163.95268,159.57508,168.18234
2024-10-04,166.32651,167.49137,164.75344,167.32212,19047400,1.19473,0.00724,164.7449,159.69047,168.28673
2024-10-07,162.2644,167.74026,162.03542,166.9836,22463100,-4.0621,-0.02442,164.78046,159.61014,168.36108
2024-10-08,163.65826,164.00672,162.15488,163.22019,23072700,1.39386,0.00859,164.84162,159.55838,168.43819
2024-10-09,161.14932,164.11623,159.03864,162.73234,31181800,-2.50894,-0.01533,164.27412,159.47203,168.48992
2024-10-10,161.36836,162.35402,159.69573,160.16367,14144100,0.21904,0.00136,163.57577,159.45364,168.55937
2024-10-11,162.52327,163.18036,160.53205,161.41814,15344300,1.15491,0.00716,163.20313,159.50921,168.62032
2024-10-14,164.23573,165.50015,162.68257,162.92152,19016100,1.71246,0.01054,163.07512,159.56883,168.67915
2024-10-15,164.73352,166.94376,163.90716,165.06206,20247200,0.49779,0.00303,162.84755,159.84456,168.73493
2024-10-16,164.43484,165.07203,163.02108,163.80761,16406000,-0.29868,-0.00181,163.15762,160.1405,168.81413
2024-10-17,162.21461,165.63951,162.04536,165.00232,21453400,-2.22023,-0.0135,162.95138,160.33625,168.74281
